"Appendix B. Developmental Education Coursetaking** by District, School and Year of High School Graduation",,,,,,,,The data used for Getting Prepared analyzed college enrollment data for high school students based on the student’s “Status End” code at a given point in time and is not comparable to graduation rate cohort data commonly used by the Minnesota Department of Education (MDE).,,,
,,,,,Enrolled within 2 Years of Graduation,,,Enrolled in Developmental Education within 2 Years,,,
Nevis Public School District,NEVIS SECONDARY,0308-01-020,2010,35,24,20,,fewer than 10,,,
Nevis Public School District,NEVIS SECONDARY,0308-01-020,2011,38,30,22,,10,26%,45%,
Nevis Public School District,NEVIS SECONDARY,0308-01-020,2012,32,23,18,,fewer than 10,,,
New Century Academy,NEW CENTURY ACADEMY,4093-07-010,2006,20,12,11,,fewer than 10,,,
New Century Academy,NEW CENTURY ACADEMY,4093-07-010,2007,26,24,21,,fewer than 10,,,
New Century Academy,NEW CENTURY ACADEMY,4093-07-010,2008,17,fewer than 10,fewer than 10,,fewer than 10,,,
New Century Academy,NEW CENTURY ACADEMY,4093-07-010,2009,19,14,12,,fewer than 10,,,
New Century Academy,NEW CENTURY ACADEMY,4093-07-010,2010,19,13,12,,fewer than 10,,,
New Century Academy,NEW CENTURY ACADEMY,4093-07-010,2011,18,13,11,,fewer than 10,,,
New Century Academy,NEW CENTURY ACADEMY,4093-07-010,2012,24,18,15,,fewer than 10,,,
"New Heights School, Inc.","NEW HEIGHTS SCHOOL, INC.",4003-07-010,2006,26,fewer than 10,fewer than 10,,fewer than 10,,,
"New Heights School, Inc.","NEW HEIGHTS SCHOOL, INC.",4003-07-010,2007,16,fewer than 10,fewer than 10,,fewer than 10,,,
"New Heights School, Inc.","NEW HEIGHTS SCHOOL, INC.",4003-07-010,2008,14,fewer than 10,fewer than 10,,fewer than 10,,,
"New Heights School, Inc.","NEW HEIGHTS SCHOOL, INC.",4003-07-010,2009,19,10,fewer than 10,,fewer than 10,,,
"New Heights School, Inc.","NEW HEIGHTS SCHOOL, INC.",4003-07-010,2010,16,fewer than 10,fewer than 10,,fewer than 10,,,
"New Heights School, Inc.","NEW HEIGHTS SCHOOL, INC.",4003-07-010,2011,14,fewer than 10,fewer than 10,,fewer than 10,,,
"New Heights School, Inc.","NEW HEIGHTS SCHOOL, INC.",4003-07-010,2012,18,fewer than 10,fewer than 10,,fewer than 10,,,
New London-Spicer School District,NEW LONDON-SPICER SR.,0345-01-030,2006,127,111,94,,17,13%,18%,
New London-Spicer School District,NEW LONDON-SPICER SR.,0345-01-030,2007,120,104,91,,27,23%,30%,
New London-Spicer School District,NEW LONDON-SPICER SR.,0345-01-030,2008,130,108,92,,26,20%,28%,
New London-Spicer School District,NEW LONDON-SPICER SR.,0345-01-030,2009,136,113,92,,32,24%,35%,
New London-Spicer School District,NEW LONDON-SPICER SR.,0345-01-030,2010,120,105,85,,26,22%,31%,
New London-Spicer School District,NEW LONDON-SPICER SR.,0345-01-030,2011,118,99,73,,28,24%,38%,
New London-Spicer School District,NEW LONDON-SPICER SR.,0345-01-030,2012,108,92,80,,13,12%,16%,
New Prague Area Schools,NEW PRAGUE SENIOR HIGH,0721-01-029,2006,224,185,151,,32,14%,21%,
New Prague Area Schools,NEW PRAGUE SENIOR HIGH,0721-01-029,2007,211,174,138,,36,17%,26%,
New Prague Area Schools,NEW PRAGUE SENIOR HIGH,0721-01-029,2008,256,210,168,,30,12%,18%,
New Prague Area Schools,NEW PRAGUE SENIOR HIGH,0721-01-029,2009,219,191,160,,25,11%,16%,
New Prague Area Schools,NEW PRAGUE SENIOR HIGH,0721-01-029,2010,245,210,165,,28,11%,17%,
New Prague Area Schools,NEW PRAGUE SENIOR HIGH,0721-01-029,2011,252,211,171,,31,12%,18%,
New Prague Area Schools,NEW PRAGUE SENIOR HIGH,0721-01-029,2012,251,209,169,,31,12%,18%,
New Ulm Public School District,NEW ULM HIGH SCHOOL,0088-01-050,2006,219,170,143,,39,18%,27%,
New Ulm Public School District,NEW ULM HIGH SCHOOL,0088-01-050,2007,197,150,120,,42,21%,35%,
New Ulm Public School District,NEW ULM HIGH SCHOOL,0088-01-050,2008,175,132,102,,25,14%,25%,
New Ulm Public School District,NEW ULM HIGH SCHOOL,0088-01-050,2009,183,132,108,,44,24%,41%,
New Ulm Public School District,NEW ULM HIGH SCHOOL,0088-01-050,2010,177,152,121,,28,16%,23%,
New Ulm Public School District,NEW ULM HIGH SCHOOL,0088-01-050,2011,152,113,85,,20,13%,24%,
New Ulm Public School District,NEW ULM HIGH SCHOOL,0088-01-050,2012,162,132,85,,16,10%,19%,
New York Mills Public School Dist.,NEW YORK MILLS SECONDARY,0553-01-020,2006,54,46,39,,fewer than 10,,,
New York Mills Public School Dist.,NEW YORK MILLS SECONDARY,0553-01-020,2007,57,49,40,,fewer than 10,,,
New York Mills Public School Dist.,NEW YORK MILLS SECONDARY,0553-01-020,2008,61,43,35,,fewer than 10,,,
New York Mills Public School Dist.,NEW YORK MILLS SECONDARY,0553-01-020,2009,47,33,27,,fewer than 10,,,
New York Mills Public School Dist.,NEW YORK MILLS SECONDARY,0553-01-020,2010,55,38,32,,fewer than 10,,,
New York Mills Public School Dist.,NEW YORK MILLS SECONDARY,0553-01-020,2011,49,30,27,,fewer than 10,,,
New York Mills Public School Dist.,NEW YORK MILLS SECONDARY,0553-01-020,2012,40,21,19,,fewer than 10,,,
Nicollet Public School District,NICOLLET SENIOR HIGH SCHOOL,0507-01-020,2006,29,23,21,,fewer than 10,,,
Nicollet Public School District,NICOLLET SENIOR HIGH SCHOOL,0507-01-020,2007,30,21,20,,fewer than 10,,,
Nicollet Public School District,NICOLLET SENIOR HIGH SCHOOL,0507-01-020,2008,33,24,22,,fewer than 10,,,
Nicollet Public School District,NICOLLET SENIOR HIGH SCHOOL,0507-01-020,2009,25,19,18,,fewer than 10,,,
Nicollet Public School District,NICOLLET SENIOR HIGH SCHOOL,0507-01-020,2010,34,21,19,,fewer than 10,,,
Nicollet Public School District,NICOLLET SENIOR HIGH SCHOOL,0507-01-020,2011,24,14,11,,fewer than 10,,,
Nicollet Public School District,NICOLLET SENIOR HIGH SCHOOL,0507-01-020,2012,24,19,16,,fewer than 10,,,
Norman County East School District,NORMAN COUNTY EAST SECONDARY,2215-01-002,2006,32,22,14,,fewer than 10,,,
Norman County East School District,NORMAN COUNTY EAST SECONDARY,2215-01-002,2007,31,19,14,,fewer than 10,,,
Norman County East School District,NORMAN COUNTY EAST SECONDARY,2215-01-002,2008,14,11,fewer than 10,,fewer than 10,,,
Norman County East School District,NORMAN COUNTY EAST SECONDARY,2215-01-002,2009,29,23,14,,fewer than 10,,,
Norman County East School District,NORMAN COUNTY EAST SECONDARY,2215-01-002,2010,30,21,13,,fewer than 10,,,
Norman County East School District,NORMAN COUNTY EAST SECONDARY,2215-01-002,2011,25,17,14,,fewer than 10,,,
Norman County East School District,NORMAN COUNTY EAST SECONDARY,2215-01-002,2012,28,25,16,,fewer than 10,,,
Norman County West School District,NORMAN COUNTY WEST SECONDARY,2527-01-020,2006,28,13,fewer than 10,,fewer than 10,,,
Norman County West School District,NORMAN COUNTY WEST SECONDARY,2527-01-020,2007,29,15,13,,fewer than 10,,,
Norman County West School District,NORMAN COUNTY WEST SECONDARY,2527-01-020,2008,27,18,11,,fewer than 10,,,
Norman County West School District,NORMAN COUNTY WEST SECONDARY,2527-01-020,2009,31,23,11,,fewer than 10,,,
Norman County West School District,NORMAN COUNTY WEST SECONDARY,2527-01-020,2010,19,11,fewer than 10,,fewer than 10,,,
Norman County West School District,NORMAN COUNTY WEST SECONDARY,2527-01-020,2011,14,fewer than 10,fewer than 10,,fewer than 10,,,
Norman County West School District,NORMAN COUNTY WEST SECONDARY,2527-01-020,2012,20,16,13,,fewer than 10,,,
North Branch Public Schools,NORTH BRANCH SENIOR HIGH,0138-01-030,2006,243,178,152,,43,18%,28%,
North Branch Public Schools,NORTH BRANCH SENIOR HIGH,0138-01-030,2007,229,156,126,,55,24%,44%,
North Branch Public Schools,NORTH BRANCH SENIOR HIGH,0138-01-030,2008,247,181,140,,46,19%,33%,
North Branch Public Schools,NORTH BRANCH SENIOR HIGH,0138-01-030,2009,246,181,141,,40,16%,28%,
North Branch Public Schools,NORTH BRANCH SENIOR HIGH,0138-01-030,2010,223,169,139,,38,17%,27%,
North Branch Public Schools,NORTH BRANCH SENIOR HIGH,0138-01-030,2011,235,185,143,,36,15%,25%,
North Branch Public Schools,NORTH BRANCH SENIOR HIGH,0138-01-030,2012,181,137,105,,32,18%,30%,
NORTH ST PAUL-MAPLEWOOD OAKDALE PUBLIC SCHOOL DISTRICT,622 ALTERNATIVE MIDDLE/HIGH SCHOOL,0622-01-040,2006,51,15,12,,fewer than 10,,,
NORTH ST PAUL-MAPLEWOOD OAKDALE PUBLIC SCHOOL DISTRICT,622 ALTERNATIVE MIDDLE/HIGH SCHOOL,0622-01-040,2007,54,19,13,,fewer than 10,,,
NORTH ST PAUL-MAPLEWOOD OAKDALE PUBLIC SCHOOL DISTRICT,622 ALTERNATIVE MIDDLE/HIGH SCHOOL,0622-01-040,2008,55,24,16,,fewer than 10,,,
NORTH ST PAUL-MAPLEWOOD OAKDALE PUBLIC SCHOOL DISTRICT,622 ALTERNATIVE MIDDLE/HIGH SCHOOL,0622-01-040,2009,55,31,23,,14,25%,61%,
NORTH ST PAUL-MAPLEWOOD OAKDALE PUBLIC SCHOOL DISTRICT,622 ALTERNATIVE MIDDLE/HIGH SCHOOL,0622-01-040,2010,53,22,15,,fewer than 10,,,
NORTH ST PAUL-MAPLEWOOD OAKDALE PUBLIC SCHOOL DISTRICT,622 ALTERNATIVE MIDDLE/HIGH SCHOOL,0622-01-040,2011,90,42,33,,14,16%,42%,
NORTH ST PAUL-MAPLEWOOD OAKDALE PUBLIC SCHOOL DISTRICT,622 ALTERNATIVE MIDDLE/HIGH SCHOOL,0622-01-040,2012,53,19,13,,fewer than 10,,,
NORTH ST PAUL-MAPLEWOOD OAKDALE PUBLIC SCHOOL DISTRICT,NORTH SENIOR HIGH,0622-01-057,2006,419,354,256,,113,27%,44%,
NORTH ST PAUL-MAPLEWOOD OAKDALE PUBLIC SCHOOL DISTRICT,NORTH SENIOR HIGH,0622-01-057,2007,381,322,236,,97,25%,41%,
NORTH ST PAUL-MAPLEWOOD OAKDALE PUBLIC SCHOOL DISTRICT,NORTH SENIOR HIGH,0622-01-057,2008,436,347,262,,84,19%,32%,
NORTH ST PAUL-MAPLEWOOD OAKDALE PUBLIC SCHOOL DISTRICT,NORTH SENIOR HIGH,0622-01-057,2009,419,366,268,,98,23%,37%,
NORTH ST PAUL-MAPLEWOOD OAKDALE PUBLIC SCHOOL DISTRICT,NORTH SENIOR HIGH,0622-01-057,2010,424,366,268,,106,25%,40%,
NORTH ST PAUL-MAPLEWOOD OAKDALE PUBLIC SCHOOL DISTRICT,NORTH SENIOR HIGH,0622-01-057,2011,437,367,266,,87,20%,33%,
NORTH ST PAUL-MAPLEWOOD OAKDALE PUBLIC SCHOOL DISTRICT,NORTH SENIOR HIGH,0622-01-057,2012,415,334,251,,61,15%,24%,
NORTH ST PAUL-MAPLEWOOD OAKDALE PUBLIC SCHOOL DISTRICT,TARTAN SENIOR HIGH,0622-01-058,2006,315,267,196,,76,24%,39%,
NORTH ST PAUL-MAPLEWOOD OAKDALE PUBLIC SCHOOL DISTRICT,TARTAN SENIOR HIGH,0622-01-058,2007,371,318,243,,71,19%,29%,
NORTH ST PAUL-MAPLEWOOD OAKDALE PUBLIC SCHOOL DISTRICT,TARTAN SENIOR HIGH,0622-01-058,2008,361,311,233,,81,22%,35%,
NORTH ST PAUL-MAPLEWOOD OAKDALE PUBLIC SCHOOL DISTRICT,TARTAN SENIOR HIGH,0622-01-058,2009,355,307,219,,75,21%,34%,
NORTH ST PAUL-MAPLEWOOD OAKDALE PUBLIC SCHOOL DISTRICT,TARTAN SENIOR HIGH,0622-01-058,2010,358,314,247,,84,23%,34%,
NORTH ST PAUL-MAPLEWOOD OAKDALE PUBLIC SCHOOL DISTRICT,TARTAN SENIOR HIGH,0622-01-058,2011,343,304,214,,69,20%,32%,
NORTH ST PAUL-MAPLEWOOD OAKDALE PUBLIC SCHOOL DISTRICT,TARTAN SENIOR HIGH,0622-01-058,2012,351,289,214,,51,15%,24%,
Northeast Metro 916,EAST VIEW ACADEMY,0916-06-063,2006,59,18,18,,fewer than 10,,,
Northeast Metro 916,EAST VIEW ACADEMY,0916-06-063,2007,74,23,23,,11,15%,48%,
Northeast Metro 916,EAST VIEW ACADEMY,0916-06-063,2008,76,30,30,,18,24%,60%,
Northeast Metro 916,EAST VIEW ACADEMY,0916-06-063,2009,43,15,15,,fewer than 10,,,
Northeast Metro 916,EAST VIEW ACADEMY,0916-06-063,2010,36,15,15,,fewer than 10,,,
Northeast Metro 916,EAST VIEW ACADEMY,0916-06-063,2011,41,18,18,,11,27%,61%,
Northeast Metro 916,EAST VIEW ACADEMY,0916-06-063,2012,22,fewer than 10,fewer than 10,,fewer than 10,,,
Northfield Public School District,NORTHFIELD AREA LEARNING CENTER,0659-01-085,2006,18,fewer than 10,fewer than 10,,fewer than 10,,,
Northfield Public School District,NORTHFIELD AREA LEARNING CENTER,0659-01-085,2007,31,10,10,,fewer than 10,,,
Northfield Public School District,NORTHFIELD AREA LEARNING CENTER,0659-01-085,2008,28,fewer than 10,fewer than 10,,fewer than 10,,,
Northfield Public School District,NORTHFIELD AREA LEARNING CENTER,0659-01-085,2009,36,fewer than 10,fewer than 10,,fewer than 10,,,
Northfield Public School District,NORTHFIELD AREA LEARNING CENTER,0659-01-085,2010,29,fewer than 10,fewer than 10,,fewer than 10,,,
Northfield Public School District,NORTHFIELD AREA LEARNING CENTER,0659-01-085,2011,28,10,10,,fewer than 10,,,
Northfield Public School District,NORTHFIELD AREA LEARNING CENTER,0659-01-085,2012,27,fewer than 10,fewer than 10,,fewer than 10,,,
Northfield Public School District,NORTHFIELD SENIOR HIGH,0659-01-001,2006,281,236,153,,32,11%,21%,
Northfield Public School District,NORTHFIELD SENIOR HIGH,0659-01-001,2007,291,237,153,,33,11%,22%,
Northfield Public School District,NORTHFIELD SENIOR HIGH,0659-01-001,2008,282,239,155,,36,13%,23%,
Northfield Public School District,NORTHFIELD SENIOR HIGH,0659-01-001,2009,282,246,125,,26,9%,21%,
Northfield Public School District,NORTHFIELD SENIOR HIGH,0659-01-001,2010,304,272,172,,30,10%,17%,
Northfield Public School District,NORTHFIELD SENIOR HIGH,0659-01-001,2011,278,227,143,,17,6%,12%,
Northfield Public School District,NORTHFIELD SENIOR HIGH,0659-01-001,2012,272,227,148,,13,5%,9%,
Northland Community Schools,NORTHLAND SECONDARY,0118-01-020,2006,42,28,25,,fewer than 10,,,
Northland Community Schools,NORTHLAND SECONDARY,0118-01-020,2007,42,25,24,,fewer than 10,,,
Northland Community Schools,NORTHLAND SECONDARY,0118-01-020,2008,34,22,21,,fewer than 10,,,
Northland Community Schools,NORTHLAND SECONDARY,0118-01-020,2009,40,31,24,,fewer than 10,,,
Northland Community Schools,NORTHLAND SECONDARY,0118-01-020,2010,37,31,29,,fewer than 10,,,
Northland Community Schools,NORTHLAND SECONDARY,0118-01-020,2011,43,29,26,,fewer than 10,,,
Northland Community Schools,NORTHLAND SECONDARY,0118-01-020,2012,23,13,10,,fewer than 10,,,
Northwest Passage High School,NORTHWEST PASSAGE HIGH SCHOOL,4049-07-010,2006,30,fewer than 10,fewer than 10,,fewer than 10,,,
Northwest Passage High School,NORTHWEST PASSAGE HIGH SCHOOL,4049-07-010,2007,19,fewer than 10,fewer than 10,,fewer than 10,,,
Northwest Passage High School,NORTHWEST PASSAGE HIGH SCHOOL,4049-07-010,2008,17,fewer than 10,fewer than 10,,fewer than 10,,,
Northwest Passage High School,NORTHWEST PASSAGE HIGH SCHOOL,4049-07-010,2009,35,19,15,,fewer than 10,,,
Northwest Passage High School,NORTHWEST PASSAGE HIGH SCHOOL,4049-07-010,2010,29,15,10,,fewer than 10,,,
Northwest Passage High School,NORTHWEST PASSAGE HIGH SCHOOL,4049-07-010,2011,41,22,17,,14,34%,82%,
Northwest Passage High School,NORTHWEST PASSAGE HIGH SCHOOL,4049-07-010,2012,28,12,10,,fewer than 10,,,
NRHEG School District,NRHEG SECONDARY,2168-01-003,2006,79,59,46,,fewer than 10,,,
NRHEG School District,NRHEG SECONDARY,2168-01-003,2007,62,45,34,,fewer than 10,,,
NRHEG School District,NRHEG SECONDARY,2168-01-003,2008,81,64,45,,13,16%,29%,
NRHEG School District,NRHEG SECONDARY,2168-01-003,2009,73,59,47,,14,19%,30%,
NRHEG School District,NRHEG SECONDARY,2168-01-003,2010,67,52,38,,14,21%,37%,
NRHEG School District,NRHEG SECONDARY,2168-01-003,2011,67,51,40,,11,16%,28%,
NRHEG School District,NRHEG SECONDARY,2168-01-003,2012,69,55,43,,12,17%,28%,
Ogilvie Public School District,OGILVIE SECONDARY,0333-01-020,2006,50,30,29,,fewer than 10,,,
Ogilvie Public School District,OGILVIE SECONDARY,0333-01-020,2007,52,33,30,,fewer than 10,,,
Ogilvie Public School District,OGILVIE SECONDARY,0333-01-020,2008,41,24,21,,fewer than 10,,,
Ogilvie Public School District,OGILVIE SECONDARY,0333-01-020,2009,55,35,28,,fewer than 10,,,
Ogilvie Public School District,OGILVIE SECONDARY,0333-01-020,2010,55,39,29,,11,20%,38%,
Ogilvie Public School District,OGILVIE SECONDARY,0333-01-020,2011,42,28,23,,fewer than 10,,,
Ogilvie Public School District,OGILVIE SECONDARY,0333-01-020,2012,53,29,26,,10,19%,38%,
Oklee Public School District,RED LAKE COUNTY CENTRAL HIGH SCHOOL,0627-01-020,2006,29,22,13,,fewer than 10,,,
Oklee Public School District,RED LAKE COUNTY CENTRAL HIGH SCHOOL,0627-01-020,2007,30,20,12,,fewer than 10,,,
Oklee Public School District,RED LAKE COUNTY CENTRAL HIGH SCHOOL,0627-01-020,2008,26,16,11,,fewer than 10,,,
Oklee Public School District,RED LAKE COUNTY CENTRAL HIGH SCHOOL,0627-01-020,2009,17,11,fewer than 10,,fewer than 10,,,
Oklee Public School District,RED LAKE COUNTY CENTRAL HIGH SCHOOL,0627-01-020,2010,24,14,fewer than 10,,fewer than 10,,,
Oklee Public School District,RED LAKE COUNTY CENTRAL HIGH SCHOOL,0627-01-020,2011,23,16,13,,fewer than 10,,,
Oklee Public School District,RED LAKE COUNTY CENTRAL HIGH SCHOOL,0627-01-020,2012,18,12,fewer than 10,,fewer than 10,,,
Onamia Public School District,ONAMIA SECONDARY,0480-01-020,2006,42,27,24,,fewer than 10,,,
Onamia Public School District,ONAMIA SECONDARY,0480-01-020,2007,51,40,39,,13,25%,33%,
Onamia Public School District,ONAMIA SECONDARY,0480-01-020,2008,49,28,19,,fewer than 10,,,
Onamia Public School District,ONAMIA SECONDARY,0480-01-020,2009,42,25,18,,fewer than 10,,,
Onamia Public School District,ONAMIA SECONDARY,0480-01-020,2010,35,25,22,,fewer than 10,,,
Onamia Public School District,ONAMIA SECONDARY,0480-01-020,2011,42,28,23,,fewer than 10,,,
Onamia Public School District,ONAMIA SECONDARY,0480-01-020,2012,32,20,16,,fewer than 10,,,
Orono Public School District,ORONO SENIOR HIGH,0278-01-030,2006,173,80,42,,fewer than 10,,,
Orono Public School District,ORONO SENIOR HIGH,0278-01-030,2007,196,107,56,,11,6%,20%,
Orono Public School District,ORONO SENIOR HIGH,0278-01-030,2008,182,158,68,,14,8%,21%,
Orono Public School District,ORONO SENIOR HIGH,0278-01-030,2009,208,190,103,,23,11%,22%,
Orono Public School District,ORONO SENIOR HIGH,0278-01-030,2010,222,204,108,,21,9%,19%,
Orono Public School District,ORONO SENIOR HIGH,0278-01-030,2011,225,205,111,,14,6%,13%,
Orono Public School District,ORONO SENIOR HIGH,0278-01-030,2012,191,169,82,,fewer than 10,,,
Ortonville Public Schools,ORTONVILLE SECONDARY,2903-01-020,2006,58,44,29,,11,19%,38%,
Ortonville Public Schools,ORTONVILLE SECONDARY,2903-01-020,2007,58,44,31,,fewer than 10,,,
Ortonville Public Schools,ORTONVILLE SECONDARY,2903-01-020,2008,60,48,24,,10,17%,42%,
Ortonville Public Schools,ORTONVILLE SECONDARY,2903-01-020,2009,58,49,36,,fewer than 10,,,
Ortonville Public Schools,ORTONVILLE SECONDARY,2903-01-020,2010,54,44,28,,fewer than 10,,,
Ortonville Public Schools,ORTONVILLE SECONDARY,2903-01-020,2011,53,42,20,,fewer than 10,,,
Ortonville Public Schools,ORTONVILLE SECONDARY,2903-01-020,2012,45,37,22,,fewer than 10,,,
Osakis Public School District,OSAKIS SECONDARY,0213-01-020,2006,61,45,37,,fewer than 10,,,
Osakis Public School District,OSAKIS SECONDARY,0213-01-020,2007,53,39,36,,10,19%,28%,
Osakis Public School District,OSAKIS SECONDARY,0213-01-020,2008,52,42,32,,fewer than 10,,,
Osakis Public School District,OSAKIS SECONDARY,0213-01-020,2009,64,52,43,,fewer than 10,,,
Osakis Public School District,OSAKIS SECONDARY,0213-01-020,2010,58,46,37,,fewer than 10,,,
Osakis Public School District,OSAKIS SECONDARY,0213-01-020,2011,55,42,30,,fewer than 10,,,
Osakis Public School District,OSAKIS SECONDARY,0213-01-020,2012,67,50,42,,fewer than 10,,,
Osseo Public School District,ALC INDEPENDENT STUDY,0279-01-703,2012,33,11,11,,fewer than 10,,,
Osseo Public School District,ALC SENIOR HIGH,0279-01-702,2012,37,11,11,,fewer than 10,,,
Osseo Public School District,MAPLE GROVE SENIOR HIGH,0279-01-090,2006,528,486,330,,70,13%,21%,
Osseo Public School District,MAPLE GROVE SENIOR HIGH,0279-01-090,2007,545,516,395,,113,21%,29%,
Osseo Public School District,MAPLE GROVE SENIOR HIGH,0279-01-090,2008,584,543,375,,82,14%,22%,
Osseo Public School District,MAPLE GROVE SENIOR HIGH,0279-01-090,2009,522,493,348,,73,14%,21%,
Osseo Public School District,MAPLE GROVE SENIOR HIGH,0279-01-090,2010,558,523,342,,68,12%,20%,
Osseo Public School District,MAPLE GROVE SENIOR HIGH,0279-01-090,2011,514,487,303,,64,12%,21%,
Osseo Public School District,MAPLE GROVE SENIOR HIGH,0279-01-090,2012,495,454,281,,42,8%,15%,
Osseo Public School District,OSSEO SECONDARY TRANSITION CENTER,0279-01-042,2006,23,fewer than 10,fewer than 10,,fewer than 10,,,
Osseo Public School District,OSSEO SECONDARY TRANSITION CENTER,0279-01-042,2007,31,fewer than 10,fewer than 10,,fewer than 10,,,
Osseo Public School District,OSSEO SECONDARY TRANSITION CENTER,0279-01-042,2008,34,fewer than 10,fewer than 10,,fewer than 10,,,
Osseo Public School District,OSSEO SECONDARY TRANSITION CENTER,0279-01-042,2009,46,fewer than 10,fewer than 10,,fewer than 10,,,
Osseo Public School District,OSSEO SECONDARY TRANSITION CENTER,0279-01-042,2010,25,fewer than 10,fewer than 10,,fewer than 10,,,
Osseo Public School District,OSSEO SECONDARY TRANSITION CENTER,0279-01-042,2011,27,fewer than 10,fewer than 10,,fewer than 10,,,
Osseo Public School District,OSSEO SECONDARY TRANSITION CENTER,0279-01-042,2012,21,fewer than 10,fewer than 10,,fewer than 10,,,
Osseo Public School District,OSSEO SENIOR HIGH,0279-01-032,2006,469,399,327,,98,21%,30%,
Osseo Public School District,OSSEO SENIOR HIGH,0279-01-032,2007,455,393,312,,111,24%,36%,
Osseo Public School District,OSSEO SENIOR HIGH,0279-01-032,2008,426,369,284,,121,28%,43%,
Osseo Public School District,OSSEO SENIOR HIGH,0279-01-032,2009,427,381,277,,106,25%,38%,
Osseo Public School District,OSSEO SENIOR HIGH,0279-01-032,2010,445,393,278,,105,24%,38%,
Osseo Public School District,OSSEO SENIOR HIGH,0279-01-032,2011,388,355,253,,88,23%,35%,
Osseo Public School District,OSSEO SENIOR HIGH,0279-01-032,2012,447,396,292,,78,17%,27%,
Osseo Public School District,PARK CENTER IB WORLD SCHOOL,0279-01-088,2006,358,302,233,,88,25%,38%,
Osseo Public School District,PARK CENTER IB WORLD SCHOOL,0279-01-088,2007,361,298,232,,98,27%,42%,
Osseo Public School District,PARK CENTER IB WORLD SCHOOL,0279-01-088,2008,379,315,249,,110,29%,44%,
Osseo Public School District,PARK CENTER IB WORLD SCHOOL,0279-01-088,2009,353,311,247,,110,31%,45%,
